Subject,Description,Assigned To,Author,Priority,Tracker,Start date,Due date,Fixed version,,,,,,,,,,,,,
A full task,A lengthily described set of activities.,admin,Admin,High,Bug,2014/03/19(水) 08:45:00,2014/03/20(木) 08:45:00,ロードマップ,,,,,,,,,,,,,
,,,,,,2014/03/18(火) 11:45:00,2014/03/19(水) 11:45:00,,,,,,,,,,,,,,
,,,,,,2014/03/17(月) 16:00:00,2014/03/18(火) 16:00:00,,,,,,,,,,,,,,
,,,,,,2014/03/17(月) 08:00:00,2014/03/17(月) 08:00:00,,,,,,,,,,,,,,
,,,,,,2014/03/17(月) 11:15:00,2014/03/18(火) 11:15:00,,,,,,,,,,,,,,
,,,,,,2014/03/17(月) 08:00:00,2014/03/17(月) 17:00:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"20 columns, 7 rows",,,,,,,,,,,,,,,,,,,
,,"779 Byte, Comma-Separated, UTF-8",,,,,,,,,,,,,,,,,,,
,,WBS Number,Title,開始,終了,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
,,1.1.1,イベント名を決める,2014/3/19 8:45,2014/3/20 8:45,1d,1d,0%,,,,,,,2014/3/19 8:45,,,,0,,
,,1.1.2,企画書を書く,2014/3/18 11:45,2014/3/19 11:45,1d,1d,0%,,,,,,,2014/3/18 11:45,,,,0,,
,,1.1.3,提出,2014/3/17 16:00,2014/3/18 16:00,1d,1d,0%,,,,,,,2014/3/17 16:00,,,,0,,
,,1.2,テキスト,2014/3/17 8:00,2014/3/17 8:00,0s,0s,0%,,,,,,,,,,,,,
,,1.3,マスタ入力,2014/3/17 11:15,2014/3/18 11:15,1d,1d,0%,,fujisaki,,,,,2014/3/17 11:15,,,,0,,
,,1.4,画像調整,2014/3/17 8:00,2014/3/17 17:00,1d,1d,0%,,fujisaki,,,,,2014/3/17 8:00,,,,0,,
